name,id,hp,attack,defense,spAttack,spDefense,speed,bst,type1,type2,abilities,passive,evolution line,img
Gigantamax Charizard,6,118,99,88,134,95,100,634,Fire,Flying,Berserk,Unnerve,"Charmander, Charmeleon, Charizard, Mega X Charizard, Mega Y Charizard, Gigantamax Charizard",6-gigantamax
Squirtle,7,44,48,65,50,64,43,314,Water,,"Torrent, Rain Dish",Bulletproof,"Squirtle, Wartortle, Blastoise, Mega Blastoise, Gigantamax Blastoise",7
Wartortle,8,59,63,80,65,80,58,405,Water,,"Torrent, Rain Dish",Bulletproof,"Squirtle, Wartortle, Blastoise, Mega Blastoise, Gigantamax Blastoise",8
Blastoise,9,79,83,100,85,105,78,530,Water,,"Torrent, Rain Dish",Bulletproof,"Squirtle, Wartortle, Blastoise, Mega Blastoise, Gigantamax Blastoise",9
Mega Blastoise,9,79,103,120,135,115,78,630,Water,,Mega Launcher,Bulletproof,"Squirtle, Wartortle, Blastoise, Mega Blastoise, Gigantamax Blastoise",9-mega
Gigantamax Blastoise,9,119,108,125,105,110,63,630,Water,Steel,Shell Armor,Bulletproof,"Squirtle, Wartortle, Blastoise, Mega Blastoise, Gigantamax Blastoise",9-gigantamax
Caterpie,10,45,30,35,20,20,45,195,Bug,,"Shield Dust, Run Away",Gluttony,"Caterpie, Metapod, Butterfree, Gigantamax Butterfree",10
Metapod,11,50,20,55,25,25,30,205,Bug,,Shed Skin,Sturdy,"Caterpie, Metapod, Butterfree, Gigantamax Butterfree",11
Butterfree,12,60,45,50,90,80,70,395,Bug,Flying,"Compound Eyes, Tinted Lens",Magician,"Caterpie, Metapod, Butterfree, Gigantamax Butterfree",12
Gigantamax Butterfree,12,80,40,75,120,95,85,495,Bug,Flying,Compound Eyes,Magician,"Caterpie, Metapod, Butterfree, Gigantamax Butterfree",12-gigantamax
Weedle,13,40,35,30,20,20,50,195,Bug,Poison,"Shield Dust, Run Away",Poison Touch,"Weedle, Kakuna, Beedrill, Mega Beedrill",13
Kakuna,14,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,Sturdy,"Weedle, Kakuna, Beedrill, Mega Beedrill",14
Beedrill,15,65,90,40,45,80,75,395,Bug,Poison,"Swarm, Sniper",Adaptability,"Weedle, Kakuna, Beedrill, Mega Beedrill",15
Mega Beedrill,15,65,150,40,15,80,145,495,Bug,Poison,Adaptability,Tinted Lens,"Weedle, Kakuna, Beedrill, Mega Beedrill",15-mega
Pidgey,16,40,45,40,35,35,56,251,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Sheer Force,"Pidgey, Pidgeotto, Pidgeot, Mega Pidgeot",16
Pidgeotto,17,63,60,55,50,50,71,349,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Sheer Force,"Pidgey, Pidgeotto, Pidgeot, Mega Pidgeot",17
Pidgeot,18,83,80,75,70,70,101,479,Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Sheer Force,"Pidgey, Pidgeotto, Pidgeot, Mega Pidgeot",18
Mega Pidgeot,18,83,80,80,135,80,121,579,Normal,Flying,No Guard,Sheer Force,"Pidgey, Pidgeotto, Pidgeot, Mega Pidgeot",18-mega
Rattata,19,30,56,35,25,35,72,253,Normal,,"Run Away, Guts, Hustle",Strong Jaw,"Rattata, Raticate",19
Raticate,20,55,81,60,50,70,97,413,Normal,,"Run Away, Guts, Hustle",Strong Jaw,"Rattata, Raticate",20
Spearow,21,40,60,30,31,31,70,262,Normal,Flying,"Keen Eye, Sniper",Speed Boost,"Spearow, Fearow",21
Fearow,22,65,90,65,61,61,100,442,Normal,Flying,"Keen Eye, Sniper",Speed Boost,"Spearow, Fearow",22
Ekans,23,35,60,44,40,54,55,288,Poison,,"Intimidate, Shed Skin, Unnerve",Regenerator,"Ekans, Arbok",23
Arbok,24,60,95,69,65,79,80,448,Poison,,"Intimidate, Shed Skin, Unnerve",Regenerator,"Ekans, Arbok",24
Pikachu,25,35,55,40,50,50,90,320,Electric,,"Static, Lightning Rod",Electric Surge,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25
Partner Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Sturdy,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-partner
Cosplay Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Costar,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-cosplay
Cool Cosplay Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Iron Fist,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-cool-cosplay
Beauty Cosplay Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Queenly Majesty,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-beauty-cosplay
Cute Cosplay Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Misty Surge,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-cute-cosplay
Smart Cosplay Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Tinted Lens,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-smart-cosplay
Tough Cosplay Pikachu,25,45,80,50,75,60,120,430,Electric,,"Static, Lightning Rod",Libero,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-tough-cosplay
Gigantamax Pikachu,25,125,95,60,90,70,90,530,Electric,,Lightning Rod,Thick Fat,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",25-gigantamax
Raichu,26,60,90,55,90,80,110,485,Electric,,"Static, Lightning Rod",Electric Surge,"Pikachu, Partner Pikachu, Cosplay Pikachu, Cool Cosplay Pikachu, Beauty Cosplay Pikachu, Cute Cosplay Pikachu, Smart Cosplay Pikachu, Tough Cosplay Pikachu, Gigantamax Pikachu, Raichu, Pichu, Spiky-Eared Pichu, Alola Raichu",26
Sandshrew,27,50,75,85,20,30,40,300,Ground,,"Sand Veil, Sand Rush",Tough Claws,"Sandshrew, Sandslash",27
Sandslash,28,75,100,110,45,55,65,450,Ground,,"Sand Veil, Sand Rush",Tough Claws,"Sandshrew, Sandslash",28
Female Nidoran,29,55,47,52,40,40,41,275,Poison,,"Poison Point, Rivalry, Hustle",Toxic Debris,"Female Nidoran, Nidorina, Nidoqueen",29
Nidorina,30,70,62,67,55,55,56,365,Poison,,"Poison Point, Rivalry, Hustle",Toxic Debris,"Female Nidoran, Nidorina, Nidoqueen",30
Nidoqueen,31,90,92,87,75,85,76,505,Poison,Ground,"Poison Point, Rivalry, Sheer Force",Toxic Debris,"Female Nidoran, Nidorina, Nidoqueen",31
Male Nidoran,32,46,57,40,40,40,50,273,Poison,,"Poison Point, Rivalry, Hustle",Guts,"Male Nidoran, Nidorino, Nidoking",32
Nidorino,33,61,72,57,55,55,65,365,Poison,,"Poison Point, Rivalry, Hustle",Guts,"Male Nidoran, Nidorino, Nidoking",33
Nidoking,34,81,102,77,85,75,85,505,Poison,Ground,"Poison Point, Rivalry, Sheer Force",Guts,"Male Nidoran, Nidorino, Nidoking",34
Clefairy,35,70,45,48,60,65,35,323,Fairy,,"Cute Charm, Magic Guard, Friend Guard",Prankster,"Clefairy, Clefable, Cleffa",35
Clefable,36,95,70,73,95,90,60,483,Fairy,,"Cute Charm, Magic Guard, Unaware",Analytic,"Clefairy, Clefable, Cleffa",36
Vulpix,37,38,41,40,50,65,65,299,Fire,,"Flash Fire, Drought",Fur Coat,"Vulpix, Ninetales",37
Ninetales,38,73,76,75,81,100,100,505,Fire,,"Flash Fire, Drought",Fur Coat,"Vulpix, Ninetales",38
Jigglypuff,39,115,45,20,45,25,20,270,Normal,Fairy,"Cute Charm, Competitive, Friend Guard",Huge Power,"Jigglypuff, Wigglytuff, Igglybuff",39
Wigglytuff,40,140,70,45,85,50,45,435,Normal,Fairy,"Cute Charm, Competitive, Frisk",Huge Power,"Jigglypuff, Wigglytuff, Igglybuff",40
Zubat,41,40,45,35,30,40,55,245,Poison,Flying,"Inner Focus, Infiltrator",Intimidate,"Zubat, Golbat, Crobat",41
Golbat,42,75,80,70,65,75,90,455,Poison,Flying,"Inner Focus, Infiltrator",Intimidate,"Zubat, Golbat, Crobat",42
Oddish,43,45,50,55,75,65,30,320,Grass,Poison,"Chlorophyll, Run Away",Triage,"Oddish, Gloom, Vileplume, Bellossom",43
Gloom,44,60,65,70,85,75,40,395,Grass,Poison,"Chlorophyll, Stench",Triage,"Oddish, Gloom, Vileplume, Bellossom",44
Vileplume,45,75,80,85,110,90,50,490,Grass,Poison,"Chlorophyll, Effect Spore",Triage,"Oddish, Gloom, Vileplume, Bellossom",45
Paras,46,35,70,55,45,55,25,285,Bug,Grass,"Effect Spore, Dry Skin, Damp",Triage,"Paras, Parasect",46
Parasect,47,60,95,80,60,80,30,405,Bug,Grass,"Effect Spore, Dry Skin, Damp",Triage,"Paras, Parasect",47
Venonat,48,60,55,50,40,55,45,305,Bug,Poison,"Compound Eyes, Tinted Lens, Run Away",Fluffy,"Venonat, Venomoth",48
Venomoth,49,70,65,60,90,75,90,450,Bug,Poison,"Shield Dust, Tinted Lens, Wonder Skin",Simple,"Venonat, Venomoth",49
Diglett,50,10,55,25,35,45,95,265,Ground,,"Sand Veil, Arena Trap, Sand Force",Sturdy,"Diglett, Dugtrio",50
Dugtrio,51,35,100,50,50,70,120,425,Ground,,"Sand Veil, Arena Trap, Sand Force",Sturdy,"Diglett, Dugtrio",51
Meowth,52,40,45,35,40,40,90,290,Normal,,"Pickup, Technician, Unnerve",Tough Claws,"Meowth, Gigantamax Meowth, Persian",52
Gigantamax Meowth,52,115,110,65,65,70,115,540,Normal,,Technician,Tough Claws,"Meowth, Gigantamax Meowth, Persian",52-gigantamax
Persian,53,65,70,60,65,65,115,440,Normal,,"Limber, Technician, Unnerve",Tough Claws,"Meowth, Gigantamax Meowth, Persian",53
Psyduck,54,50,52,48,65,50,55,320,Water,,"Damp, Cloud Nine, Swift Swim",Simple,"Psyduck, Golduck",54
Golduck,55,80,82,78,95,80,85,500,Water,,"Damp, Cloud Nine, Swift Swim",Simple,"Psyduck, Golduck",55
Mankey,56,40,80,35,35,45,70,305,Fighting,,"Vital Spirit, Anger Point, Defiant",Iron Fist,"Mankey, Primeape, Annihilape",56
Primeape,57,65,105,60,60,70,95,455,Fighting,,"Vital Spirit, Anger Point, Defiant",Iron Fist,"Mankey, Primeape, Annihilape",57
Growlithe,58,55,70,45,70,50,60,350,Fire,,"Intimidate, Flash Fire, Justified",Fluffy,"Growlithe, Arcanine",58
Arcanine,59,90,110,80,100,80,95,555,Fire,,"Intimidate, Flash Fire, Justified",Fluffy,"Growlithe, Arcanine",59
Poliwag,60,40,50,40,40,40,90,300,Water,,"Water Absorb, Damp, Swift Swim",No Guard,"Poliwag, Poliwhirl, Poliwrath, Politoed",60
Poliwhirl,61,65,65,65,50,50,90,385,Water,,"Water Absorb, Damp, Swift Swim",No Guard,"Poliwag, Poliwhirl, Poliwrath, Politoed",61
Poliwrath,62,90,95,95,70,90,70,510,Water,Fighting,"Water Absorb, Damp, Swift Swim",No Guard,"Poliwag, Poliwhirl, Poliwrath, Politoed",62
Abra,63,25,20,15,105,55,90,310,Psychic,,"Synchronize, Inner Focus, Magic Guard",Comatose,"Abra, Kadabra, Alakazam, Mega Alakazam",63
Kadabra,64,40,35,30,120,70,105,400,Psychic,,"Synchronize, Inner Focus, Magic Guard",Magician,"Abra, Kadabra, Alakazam, Mega Alakazam",64
Alakazam,65,55,50,45,135,95,120,500,Psychic,,"Synchronize, Inner Focus, Magic Guard",Magician,"Abra, Kadabra, Alakazam, Mega Alakazam",65
Mega Alakazam,65,55,50,65,175,105,150,600,Psychic,,Trace,Magician,"Abra, Kadabra, Alakazam, Mega Alakazam",65-mega
Machop,66,70,80,50,35,35,35,305,Fighting,,"Guts, No Guard, Steadfast",Quick Feet,"Machop, Machoke, Machamp, Gigantamax Machamp",66
Machoke,67,80,100,70,50,60,45,405,Fighting,,"Guts, No Guard, Steadfast",Quick Feet,"Machop, Machoke, Machamp, Gigantamax Machamp",67
Machamp,68,90,130,80,65,85,55,505,Fighting,,"Guts, No Guard, Steadfast",Quick Feet,"Machop, Machoke, Machamp, Gigantamax Machamp",68
Gigantamax Machamp,68,120,170,95,80,85,55,605,Fighting,,Guts,Quick Feet,"Machop, Machoke, Machamp, Gigantamax Machamp",68-gigantamax
Bellsprout,69,50,75,35,70,30,40,300,Grass,Poison,"Chlorophyll, Gluttony",Flower Gift,"Bellsprout, Weepinbell, Victreebel",69
Weepinbell,70,65,90,50,85,45,55,390,Grass,Poison,"Chlorophyll, Gluttony",Flower Gift,"Bellsprout, Weepinbell, Victreebel",70
Victreebel,71,80,105,65,100,70,70,490,Grass,Poison,"Chlorophyll, Gluttony",Flower Gift,"Bellsprout, Weepinbell, Victreebel",71
Tentacool,72,40,40,35,50,100,70,335,Water,Poison,"Clear Body, Liquid Ooze, Rain Dish",Toxic Chain,"Tentacool, Tentacruel",72
Tentacruel,73,80,70,65,80,120,100,515,Water,Poison,"Clear Body, Liquid Ooze, Rain Dish",Toxic Chain,"Tentacool, Tentacruel",73
Geodude,74,40,80,100,30,30,20,300,Rock,Ground,"Rock Head, Sturdy, Sand Veil",Dry Skin,"Geodude, Graveler, Golem",74
Graveler,75,55,95,115,45,45,35,390,Rock,Ground,"Rock Head, Sturdy, Sand Veil",Dry Skin,"Geodude, Graveler, Golem",75
Golem,76,80,120,130,55,65,45,495,Rock,Ground,"Rock Head, Sturdy, Sand Veil",Dry Skin,"Geodude, Graveler, Golem",76
Ponyta,77,50,85,55,65,65,90,410,Fire,,"Run Away, Flash Fire, Flame Body",Magic Guard,"Ponyta, Rapidash",77
Rapidash,78,65,100,70,80,80,105,500,Fire,,"Run Away, Flash Fire, Flame Body",Magic Guard,"Ponyta, Rapidash",78
Slowpoke,79,90,65,65,40,40,15,315,Water,Psychic,"Oblivious, Own Tempo, Regenerator",Unaware,"Slowpoke, Slowbro, Mega Slowbro, Slowking",79
Slowbro,80,95,75,110,100,80,30,490,Water,Psychic,"Oblivious, Own Tempo, Regenerator",Unaware,"Slowpoke, Slowbro, Mega Slowbro, Slowking",80
Mega Slowbro,80,95,75,180,130,80,30,590,Water,Psychic,Shell Armor,Regenerator,"Slowpoke, Slowbro, Mega Slowbro, Slowking",80-mega
Magnemite,81,25,35,70,95,55,45,325,Electric,Steel,"Magnet Pull, Sturdy, Analytic",Levitate,"Magnemite, Magneton, Magnezone",81
Magneton,82,50,60,95,120,70,70,465,Electric,Steel,"Magnet Pull, Sturdy, Analytic",Levitate,"Magnemite, Magneton, Magnezone",82
Farfetch’d,83,52,90,55,58,62,60,377,Normal,Flying,"Keen Eye, Inner Focus, Defiant",Sniper,Farfetch’d,83
Doduo,84,35,85,45,35,35,75,310,Normal,Flying,"Run Away, Early Bird, Tangled Feet",Parental Bond,"Doduo, Dodrio",84
Dodrio,85,60,110,70,60,60,110,470,Normal,Flying,"Run Away, Early Bird, Tangled Feet",Parental Bond,"Doduo, Dodrio",85
Seel,86,65,45,55,45,70,45,325,Water,,"Thick Fat, Hydration, Ice Body",Water Bubble,"Seel, Dewgong",86
Dewgong,87,90,70,80,70,95,70,475,Water,Ice,"Thick Fat, Hydration, Ice Body",Water Bubble,"Seel, Dewgong",87
Grimer,88,80,80,50,40,50,25,325,Poison,,"Stench, Sticky Hold, Poison Touch",Water Absorb,"Grimer, Muk",88
Muk,89,105,105,75,65,100,50,500,Poison,,"Stench, Sticky Hold, Poison Touch",Water Absorb,"Grimer, Muk",89
Shellder,90,30,65,100,45,25,40,305,Water,,"Shell Armor, Skill Link, Overcoat",Sturdy,"Shellder, Cloyster",90
Cloyster,91,50,95,180,85,45,70,525,Water,Ice,"Shell Armor, Skill Link, Overcoat",Ice Scales,"Shellder, Cloyster",91
Gastly,92,30,35,30,100,35,80,310,Ghost,Poison,Levitate,Prankster,"Gastly, Haunter, Gengar, Mega Gengar, Gigantamax Gengar",92
Haunter,93,45,50,45,115,55,95,405,Ghost,Poison,Levitate,Prankster,"Gastly, Haunter, Gengar, Mega Gengar, Gigantamax Gengar",93
Gengar,94,60,65,60,130,75,110,500,Ghost,Poison,Cursed Body,Levitate,"Gastly, Haunter, Gengar, Mega Gengar, Gigantamax Gengar",94
Mega Gengar,94,60,65,80,170,95,130,600,Ghost,Poison,Shadow Tag,Unnerve,"Gastly, Haunter, Gengar, Mega Gengar, Gigantamax Gengar",94-mega
Gigantamax Gengar,94,150,50,65,150,85,100,600,Ghost,Poison,Shadow Tag,Regenerator,"Gastly, Haunter, Gengar, Mega Gengar, Gigantamax Gengar",94-gigantamax
Onix,95,35,45,160,30,45,70,385,Rock,Ground,"Rock Head, Sturdy, Weak Armor",Rocky Payload,"Onix, Steelix, Mega Steelix",95
Drowzee,96,60,48,45,43,90,42,328,Psychic,,"Insomnia, Forewarn, Inner Focus",Magician,"Drowzee, Hypno",96
Hypno,97,85,73,70,73,115,67,483,Psychic,,"Insomnia, Forewarn, Inner Focus",Magician,"Drowzee, Hypno",97
Krabby,98,30,105,90,25,25,50,325,Water,,"Hyper Cutter, Shell Armor, Sheer Force",Unburden,"Krabby, Kingler, Gigantamax Kingler",98
Kingler,99,55,130,115,50,50,75,475,Water,,"Hyper Cutter, Shell Armor, Sheer Force",Unburden,"Krabby, Kingler, Gigantamax Kingler",99
Gigantamax Kingler,99,92,145,140,60,65,73,575,Water,,Tough Claws,Unburden,"Krabby, Kingler, Gigantamax Kingler",99-gigantamax
Voltorb,100,40,30,50,55,55,100,330,Electric,,"Soundproof, Static, Aftermath",Transistor,"Voltorb, Electrode",100
Electrode,101,60,50,70,80,80,150,490,Electric,,"Soundproof, Static, Aftermath",Transistor,"Voltorb, Electrode",101
Exeggcute,102,60,40,80,60,45,40,325,Grass,Psychic,"Chlorophyll, Harvest",Ripen,"Exeggcute, Exeggutor, Alola Exeggutor",102
Exeggutor,103,95,95,85,125,75,55,530,Grass,Psychic,"Chlorophyll, Harvest",Ripen,"Exeggcute, Exeggutor, Alola Exeggutor",103
Cubone,104,50,50,95,40,50,35,320,Ground,,"Rock Head, Lightning Rod, Battle Armor",Parental Bond,"Cubone, Marowak, Alola Marowak",104
Marowak,105,60,80,110,50,80,45,425,Ground,,"Rock Head, Lightning Rod, Battle Armor",Parental Bond,"Cubone, Marowak, Alola Marowak",105
Hitmonlee,106,50,120,53,35,110,87,455,Fighting,,"Limber, Reckless, Unburden",Sheer Force,"Hitmonlee, Hitmonchan, Tyrogue, Hitmontop",106
Hitmonchan,107,50,105,79,35,110,76,455,Fighting,,"Keen Eye, Iron Fist, Inner Focus",Moxie,"Hitmonlee, Hitmonchan, Tyrogue, Hitmontop",107
Lickitung,108,90,55,75,60,75,30,385,Normal,,"Own Tempo, Oblivious, Cloud Nine",Cheek Pouch,"Lickitung, Lickilicky",108
Koffing,109,40,65,95,60,45,35,340,Poison,,"Levitate, Neutralizing Gas, Stench",White Smoke,"Koffing, Weezing, Galar Weezing",109
Weezing,110,65,90,120,85,70,60,490,Poison,,"Levitate, Neutralizing Gas, Stench",Parental Bond,"Koffing, Weezing, Galar Weezing",110
Rhyhorn,111,80,85,95,30,30,25,345,Ground,Rock,"Lightning Rod, Rock Head, Reckless",Solid Rock,"Rhyhorn, Rhydon, Rhyperior",111
Rhydon,112,105,130,120,45,45,40,485,Ground,Rock,"Lightning Rod, Rock Head, Reckless",Solid Rock,"Rhyhorn, Rhydon, Rhyperior",112
Chansey,113,250,5,5,35,105,50,450,Normal,,"Natural Cure, Serene Grace, Healer",Friend Guard,"Chansey, Blissey, Happiny",113
Tangela,114,65,55,115,100,40,60,435,Grass,,"Chlorophyll, Leaf Guard, Regenerator",Tangling Hair,"Tangela, Tangrowth",114
Kangaskhan,115,105,95,80,40,80,90,490,Normal,,"Early Bird, Scrappy, Inner Focus",Technician,"Kangaskhan, Mega Kangaskhan",115
Mega Kangaskhan,115,105,125,100,60,100,100,590,Normal,,Parental Bond,Technician,"Kangaskhan, Mega Kangaskhan",115-mega
Horsea,116,30,40,70,70,25,60,295,Water,,"Swift Swim, Sniper, Damp",Dragons Maw,"Horsea, Seadra, Kingdra",116
Seadra,117,55,65,95,95,45,85,440,Water,,"Poison Point, Sniper, Damp",Dragons Maw,"Horsea, Seadra, Kingdra",117
Goldeen,118,45,67,60,35,50,63,320,Water,,"Swift Swim, Water Veil, Lightning Rod",Multiscale,"Goldeen, Seaking",118
Seaking,119,80,92,65,65,80,68,450,Water,,"Swift Swim, Water Veil, Lightning Rod",Multiscale,"Goldeen, Seaking",119
Staryu,120,30,45,55,70,55,85,340,Water,,"Illuminate, Natural Cure, Analytic",Regenerator,"Staryu, Starmie",120
Starmie,121,60,75,85,100,85,115,520,Water,Psychic,"Illuminate, Natural Cure, Analytic",Regenerator,"Staryu, Starmie",121
Mr. Mime,122,40,45,65,100,120,90,460,Psychic,Fairy,"Soundproof, Filter, Technician",Prankster,"Mr. Mime, Mime Jr., Mr. Rime, Galar Mr. Mime",122
Scyther,123,70,110,80,55,80,105,500,Bug,Flying,"Swarm, Technician, Steadfast",Tinted Lens,"Scyther, Scizor, Mega Scizor, Kleavor",123
Jynx,124,65,50,35,115,95,95,455,Ice,Psychic,"Oblivious, Forewarn, Dry Skin",Psychic Surge,"Jynx, Smoochum",124
Electabuzz,125,65,83,57,95,85,105,490,Electric,,"Static, Vital Spirit",Sheer Force,"Electabuzz, Elekid, Electivire",125
Magmar,126,65,95,57,100,85,93,495,Fire,,"Flame Body, Vital Spirit",Sheer Force,"Magmar, Magby, Magmortar",126
Pinsir,127,65,125,100,55,70,85,500,Bug,,"Hyper Cutter, Mold Breaker, Moxie",Tinted Lens,"Pinsir, Mega Pinsir",127
Mega Pinsir,127,65,155,120,65,90,105,600,Bug,Flying,Aerilate,Mold Breaker,"Pinsir, Mega Pinsir",127-mega
Tauros,128,75,100,95,40,70,110,490,Normal,,"Intimidate, Anger Point, Sheer Force",Moxie,Tauros,128
Magikarp,129,20,10,55,15,20,80,200,Water,,"Swift Swim, Rattled",Multiscale,"Magikarp, Gyarados, Mega Gyarados",129
Gyarados,130,95,125,79,60,100,81,540,Water,Flying,"Intimidate, Moxie",Multiscale,"Magikarp, Gyarados, Mega Gyarados",130
Mega Gyarados,130,95,155,109,70,130,81,640,Water,Dark,Mold Breaker,Multiscale,"Magikarp, Gyarados, Mega Gyarados",130-mega
Lapras,131,130,85,80,85,95,60,535,Water,Ice,"Water Absorb, Shell Armor, Hydration",Filter,"Lapras, Gigantamax Lapras",131
Gigantamax Lapras,131,170,97,85,107,111,65,635,Water,Ice,Shield Dust,Filter,"Lapras, Gigantamax Lapras",131-gigantamax
Ditto,132,48,48,48,48,48,48,288,Normal,,"Limber, Imposter",Adaptability,Ditto,132
Eevee,133,55,55,50,45,65,55,325,Normal,,"Run Away, Adaptability, Anticipation",Pickup,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon",133
Partner Eevee,133,65,75,70,65,85,75,435,Normal,,"Run Away, Adaptability, Anticipation",Pickup,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon",133-partner
Gigantamax Eevee,133,110,95,70,90,85,85,535,Normal,,Protean,Fluffy,"Eevee, Partner Eevee, Gigantamax Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Leafeon, Glaceon, Sylveon",133-gigantamax
